claim_id,loss_date,type,state,paid_usd
HIST-00157,2024-07-09,glass,GA,9090.8
HIST-00158,2022-10-02,uninsured_motorist,IL,11025.36
HIST-00159,2022-02-08,glass,NC,17133.84
HIST-00160,2024-05-19,collision,NY,8680.81
HIST-00161,2024-08-09,comprehensive,NC,8071.58
HIST-00162,2023-02-16,liability,PA,6266.23
HIST-00163,2024-02-28,comprehensive,IL,7644.95
HIST-00164,2023-05-22,uninsured_motorist,GA,1045.87
HIST-00165,2022-06-09,liability,TX,17475.25
HIST-00166,2023-09-27,collision,GA,8530.78
HIST-00167,2022-04-17,liability,NC,13713.4
HIST-00168,2024-08-25,collision,FL,5100.19
HIST-00169,2022-05-15,uninsured_motorist,TX,908.1
HIST-00170,2024-10-26,comprehensive,NY,5869.2
HIST-00171,2022-09-14,collision,FL,17863.73
HIST-00172,2022-08-04,comprehensive,OH,16814.69
HIST-00173,2023-09-23,liability,PA,15091.14
HIST-00174,2023-04-15,glass,NY,7151.11
HIST-00175,2024-09-24,comprehensive,TX,5261.95
HIST-00176,2023-06-26,glass,WA,14841.67
HIST-00177,2023-12-10,glass,NC,17980.68
HIST-00178,2023-03-15,glass,OH,6474.18
HIST-00179,2024-09-13,uninsured_motorist,IL,15704.99
HIST-00180,2024-04-19,uninsured_motorist,FL,15465.83
HIST-00181,2023-01-11,uninsured_motorist,PA,7194.99
HIST-00182,2024-11-05,uninsured_motorist,CA,2621.93
HIST-00183,2024-06-28,collision,OH,2154.93
HIST-00184,2023-01-24,comprehensive,PA,15728.42
HIST-00185,2022-02-16,liability,IL,11369.37
HIST-00186,2023-11-03,liability,GA,7088.17
HIST-00187,2023-11-23,uninsured_motorist,GA,1031.82
HIST-00188,2022-04-21,liability,FL,13543.09
HIST-00189,2023-02-25,collision,OH,3328.02
HIST-00190,2023-01-02,liability,CA,5563.27
HIST-00191,2023-07-05,comprehensive,GA,7652.11
HIST-00192,2024-03-06,comprehensive,TX,11127.06
HIST-00193,2023-10-22,comprehensive,OH,16465.79
HIST-00194,2022-04-15,liability,OH,4893.75
HIST-00195,2022-08-10,glass,NY,1699.97
HIST-00196,2023-10-10,uninsured_motorist,WA,8440.31
HIST-00197,2023-04-13,uninsured_motorist,TX,4574.82
HIST-00198,2024-06-19,liability,WA,786.14
HIST-00199,2024-07-09,collision,NC,15625.19
HIST-00200,2024-01-20,uninsured_motorist,WA,14053.04
HIST-00201,2022-10-26,liability,FL,11604.47
HIST-00202,2024-05-22,comprehensive,TX,16299.91
HIST-00203,2024-01-10,uninsured_motorist,CA,10600.5
HIST-00204,2024-03-03,liability,IL,13555.66
HIST-00205,2022-04-05,glass,IL,9743.0
HIST-00206,2023-03-09,uninsured_motorist,WA,13539.44
HIST-00207,2023-02-15,collision,NY,13673.07
HIST-00208,2022-11-24,uninsured_motorist,GA,6837.64
HIST-00209,2023-01-09,glass,TX,8404.23
HIST-00210,2024-12-22,liability,NC,7106.05
HIST-00211,2024-06-04,comprehensive,OH,840.43
HIST-00212,2024-06-20,comprehensive,TX,11583.11
HIST-00213,2023-12-10,uninsured_motorist,TX,2860.08
HIST-00214,2022-05-16,collision,TX,4532.48
HIST-00215,2024-03-13,uninsured_motorist,IL,12200.56
HIST-00216,2024-12-18,uninsured_motorist,NC,13463.93
HIST-00217,2022-07-21,collision,OH,11235.48
HIST-00218,2023-01-23,liability,FL,8203.54
HIST-00219,2022-06-04,liability,GA,16269.85
HIST-00220,2024-06-02,uninsured_motorist,WA,3740.63
HIST-00221,2022-08-03,comprehensive,NC,17491.24
HIST-00222,2022-06-08,comprehensive,NC,4011.62
HIST-00223,2024-04-19,comprehensive,FL,6182.65
HIST-00224,2022-10-01,liability,NY,17780.48
HIST-00225,2024-05-26,comprehensive,TX,12034.61
HIST-00226,2022-03-01,liability,FL,10763.81
HIST-00227,2022-03-09,collision,NY,13454.24
HIST-00228,2024-02-24,collision,OH,8289.64
HIST-00229,2023-09-19,collision,OH,9267.56
HIST-00230,2024-01-24,glass,WA,8461.55
HIST-00231,2022-01-16,uninsured_motorist,PA,12475.32
HIST-00232,2023-12-15,collision,TX,6069.17
HIST-00233,2022-02-05,liability,NC,11542.15
HIST-00234,2024-12-11,uninsured_motorist,NC,9737.8
HIST-00235,2023-09-20,uninsured_motorist,TX,14358.49
HIST-00236,2022-11-21,glass,FL,7969.23
HIST-00237,2022-07-11,uninsured_motorist,PA,7721.42
HIST-00238,2022-06-14,liability,WA,6987.7
HIST-00239,2022-11-16,collision,TX,15039.19
HIST-00240,2022-07-04,liability,NY,10192.12
HIST-00241,2024-09-18,liability,TX,7630.23
HIST-00242,2024-07-28,collision,WA,10967.22
HIST-00243,2023-02-19,glass,FL,3123.25
HIST-00244,2023-04-28,collision,IL,15278.57
HIST-00245,2023-02-25,liability,NC,4380.4
HIST-00246,2023-09-25,glass,NC,12279.59
HIST-00247,2024-01-20,liability,CA,3575.32
HIST-00248,2024-05-11,liability,CA,3592.74
HIST-00249,2022-10-22,uninsured_motorist,TX,2896.99
HIST-00250,2024-01-03,glass,FL,7021.02
HIST-00251,2023-06-06,liability,WA,13100.09
HIST-00252,2024-10-03,collision,NY,3170.41
HIST-00253,2024-01-22,collision,WA,8198.79
HIST-00254,2023-08-20,uninsured_motorist,PA,5207.74
HIST-00255,2024-02-12,uninsured_motorist,TX,5385.14
HIST-00256,2024-10-16,glass,WA,1199.35
HIST-00257,2023-10-02,collision,FL,5704.98
HIST-00258,2022-03-25,liability,WA,6174.95
HIST-00259,2022-08-24,uninsured_motorist,NY,2673.67
HIST-00260,2024-12-08,glass,GA,15067.03
HIST-00261,2023-02-13,collision,PA,729.85
HIST-00262,2022-06-19,uninsured_motorist,NC,7517.84
HIST-00263,2024-07-10,collision,PA,767.08
HIST-00264,2023-03-26,glass,OH,15043.66
HIST-00265,2023-02-14,collision,FL,8067.91
HIST-00266,2023-09-03,uninsured_motorist,WA,13526.16
HIST-00267,2022-06-25,comprehensive,TX,9384.51
HIST-00268,2022-09-17,comprehensive,IL,6579.36
HIST-00269,2024-03-08,collision,NY,4905.04
HIST-00270,2022-10-05,collision,NY,17142.74
HIST-00271,2024-08-15,glass,NC,8300.73
HIST-00272,2024-11-21,glass,IL,15610.74
HIST-00273,2024-06-05,uninsured_motorist,TX,8653.01
HIST-00274,2024-05-26,liability,NC,1388.63
HIST-00275,2024-02-10,uninsured_motorist,OH,1061.89
HIST-00276,2023-05-03,collision,NC,10855.8
HIST-00277,2023-08-19,glass,CA,8315.31
HIST-00278,2024-11-07,liability,NC,8771.07
HIST-00279,2022-01-15,collision,IL,17689.99
HIST-00280,2022-09-21,comprehensive,CA,4760.29
HIST-00281,2023-08-17,glass,NC,3193.93
HIST-00282,2023-05-13,uninsured_motorist,IL,12348.6
HIST-00283,2022-11-21,liability,TX,6202.56
HIST-00284,2024-11-13,liability,WA,13137.71
HIST-00285,2024-10-28,comprehensive,IL,1834.43
HIST-00286,2024-03-12,liability,PA,2669.55
HIST-00287,2024-02-10,glass,PA,11725.48
HIST-00288,2023-03-22,glass,TX,11770.04
HIST-00289,2023-09-12,collision,IL,5836.04
HIST-00290,2022-06-25,uninsured_motorist,FL,4387.16
HIST-00291,2022-03-03,liability,TX,9335.34
HIST-00292,2024-12-17,collision,IL,15824.51
HIST-00293,2024-03-20,uninsured_motorist,NY,3255.55
HIST-00294,2024-10-26,comprehensive,OH,1168.99
HIST-00295,2023-11-24,comprehensive,OH,11146.48
HIST-00296,2024-08-08,glass,FL,5846.63
HIST-00297,2023-04-12,glass,OH,8525.57
HIST-00298,2023-07-17,glass,PA,17406.32
HIST-00299,2022-10-05,liability,CA,11684.75
HIST-00300,2023-09-04,glass,TX,5417.11
HIST-00301,2022-05-15,glass,NY,15026.42
HIST-00302,2022-04-27,uninsured_motorist,IL,16776.31
HIST-00303,2023-01-13,glass,IL,4549.69
HIST-00304,2022-06-08,collision,IL,16782.54
HIST-00305,2024-11-11,comprehensive,NY,1074.14
HIST-00306,2023-12-27,comprehensive,OH,8295.39
HIST-00307,2022-02-01,liability,FL,15095.35
HIST-00308,2024-12-20,glass,PA,2356.89
HIST-00309,2023-04-10,collision,CA,4596.54
HIST-00310,2024-10-15,collision,TX,15125.7
HIST-00311,2023-10-18,collision,GA,10520.84
HIST-00312,2024-03-10,uninsured_motorist,CA,11220.65
HIST-00313,2022-10-14,comprehensive,TX,9613.33
HIST-00314,2023-02-17,glass,GA,14240.86
HIST-00315,2024-09-01,uninsured_motorist,OH,1166.21
HIST-00316,2023-06-09,collision,IL,14277.95
HIST-00317,2023-04-24,collision,NC,13339.29
HIST-00318,2023-03-02,liability,GA,6358.43
HIST-00319,2024-03-27,uninsured_motorist,OH,11518.55
HIST-00320,2022-02-23,uninsured_motorist,CA,5564.59
HIST-00321,2022-04-02,liability,WA,9470.75
HIST-00322,2024-08-09,collision,FL,5435.55
HIST-00323,2022-11-11,liability,TX,14468.43
HIST-00324,2023-07-24,uninsured_motorist,PA,6367.04
HIST-00325,2022-08-23,uninsured_motorist,IL,16667.86
HIST-00326,2024-05-26,collision,PA,1789.12
HIST-00327,2024-03-18,liability,IL,2205.72
HIST-00328,2023-11-10,liability,OH,11006.14
HIST-00329,2023-03-23,uninsured_motorist,IL,8269.48
HIST-00330,2024-06-20,uninsured_motorist,WA,11654.66
HIST-00331,2022-02-22,uninsured_motorist,IL,9430.31
HIST-00332,2024-11-06,collision,NY,15336.58
HIST-00333,2024-08-02,comprehensive,TX,4553.52
HIST-00334,2024-06-12,uninsured_motorist,NC,969.98
HIST-00335,2022-11-15,liability,IL,8213.33
HIST-00336,2022-10-05,glass,IL,7405.4
HIST-00337,2024-05-08,collision,CA,13347.88
HIST-00338,2023-09-13,glass,TX,5007.27
HIST-00339,2023-12-15,comprehensive,NC,5426.15
HIST-00340,2023-04-04,comprehensive,TX,8355.95
HIST-00341,2024-08-03,liability,IL,12887.91
HIST-00342,2024-09-10,liability,NY,12927.84
HIST-00343,2024-11-06,liability,GA,4346.65
HIST-00344,2022-03-08,uninsured_motorist,CA,6751.78
HIST-00345,2024-06-15,glass,NY,11170.29
HIST-00346,2022-02-10,uninsured_motorist,OH,9652.24
HIST-00347,2023-10-03,comprehensive,IL,11705.16
HIST-00348,2023-08-22,glass,IL,2658.69
HIST-00349,2024-11-19,comprehensive,NY,8014.08
HIST-00350,2022-02-17,comprehensive,WA,3297.96
HIST-00351,2023-12-08,liability,GA,16150.7
HIST-00352,2022-05-07,glass,WA,2603.0
HIST-00353,2023-10-18,collision,GA,11681.38
HIST-00354,2024-10-05,comprehensive,NC,13083.14
HIST-00355,2024-06-27,glass,CA,14924.16
HIST-00356,2022-02-02,glass,WA,11859.89
HIST-00357,2024-07-20,collision,OH,16046.35
HIST-00358,2024-05-21,liability,OH,4709.85
HIST-00359,2024-07-10,uninsured_motorist,TX,12519.6
HIST-00360,2022-08-14,uninsured_motorist,OH,3990.81
HIST-00361,2024-03-11,liability,IL,17566.58
HIST-00362,2022-06-17,glass,TX,6016.44
HIST-00363,2023-02-09,uninsured_motorist,FL,2879.45
HIST-00364,2022-05-13,glass,PA,4769.56
HIST-00365,2022-06-19,liability,FL,13830.94
HIST-00366,2023-09-15,uninsured_motorist,WA,9153.72
HIST-00367,2022-07-17,uninsured_motorist,FL,4186.54
HIST-00368,2023-01-02,liability,OH,10916.33
HIST-00369,2024-11-16,liability,GA,543.92
HIST-00370,2022-07-05,liability,IL,13843.88
HIST-00371,2023-01-13,collision,NC,10287.98
HIST-00372,2023-09-10,collision,PA,9274.9
HIST-00373,2024-05-27,glass,NC,2491.07
HIST-00374,2022-07-12,liability,GA,16925.49
HIST-00375,2022-04-20,glass,PA,9201.37
HIST-00376,2022-01-05,liability,OH,9540.26
HIST-00377,2022-10-17,comprehensive,IL,16792.09
HIST-00378,2023-03-13,glass,WA,10849.55
HIST-00379,2024-09-18,uninsured_motorist,NC,5676.31
HIST-00380,2022-06-11,collision,PA,10673.16
HIST-00381,2024-12-21,collision,NC,8752.79
HIST-00382,2024-10-19,comprehensive,CA,10670.01
HIST-00383,2022-09-21,glass,PA,3000.85
HIST-00384,2024-04-02,glass,TX,3757.8
HIST-00385,2023-06-14,comprehensive,PA,12552.8
HIST-00386,2023-09-25,glass,OH,15761.59
HIST-00387,2024-12-02,comprehensive,GA,4049.21
HIST-00388,2023-11-16,glass,PA,5922.05
HIST-00389,2022-08-18,liability,GA,6635.45
HIST-00390,2024-11-21,liability,NC,8921.57
HIST-00391,2022-05-18,liability,FL,16970.15
HIST-00392,2023-05-23,comprehensive,OH,5979.92
HIST-00393,2023-09-26,liability,WA,2544.98
HIST-00394,2024-09-13,uninsured_motorist,IL,17201.12
HIST-00395,2022-05-02,liability,TX,6496.0
HIST-00396,2023-11-09,uninsured_motorist,FL,3956.4
HIST-00397,2024-05-18,liability,NY,2322.39
HIST-00398,2024-10-08,comprehensive,CA,12189.08
HIST-00399,2024-04-21,comprehensive,CA,2163.48
HIST-00400,2023-12-16,collision,NY,491.19
HIST-00401,2024-03-14,uninsured_motorist,OH,11849.48
HIST-00402,2023-06-10,collision,TX,11880.46
HIST-00403,2022-09-24,collision,NY,7754.78
HIST-00404,2022-01-27,uninsured_motorist,OH,3679.08
HIST-00405,2024-05-02,collision,WA,10396.13
HIST-00406,2022-06-10,uninsured_motorist,GA,9628.01
HIST-00407,2022-09-15,liability,FL,14635.12
HIST-00408,2023-03-24,uninsured_motorist,WA,13047.33
HIST-00409,2022-12-11,liability,NC,12269.46
HIST-00410,2022-03-20,uninsured_motorist,PA,9468.94
HIST-00411,2022-07-22,collision,NY,17677.66
HIST-00412,2023-06-08,collision,WA,7150.91
HIST-00413,2023-05-11,liability,NC,13122.73
HIST-00414,2022-05-21,liability,FL,1493.39
HIST-00415,2022-08-10,comprehensive,PA,12474.9
HIST-00416,2024-05-23,collision,WA,6868.77
HIST-00417,2022-04-05,uninsured_motorist,NY,8407.62
HIST-00418,2024-06-14,glass,OH,13729.37
HIST-00419,2024-04-25,comprehensive,NC,15767.18
HIST-00420,2022-09-15,glass,IL,1774.61
HIST-00421,2024-02-02,glass,GA,3957.96
HIST-00422,2024-03-06,liability,GA,8176.39
HIST-00423,2024-04-23,glass,OH,2000.57
HIST-00424,2024-08-26,collision,OH,2722.22
HIST-00425,2023-08-19,collision,GA,8537.86
HIST-00426,2023-12-01,uninsured_motorist,WA,14769.58
HIST-00427,2024-04-19,collision,CA,7857.07
HIST-00428,2024-02-18,collision,TX,17756.02
HIST-00429,2023-01-10,uninsured_motorist,NY,13933.91
HIST-00430,2024-12-21,uninsured_motorist,IL,17874.28
HIST-00431,2023-08-28,uninsured_motorist,PA,1812.4
HIST-00432,2024-09-05,liability,TX,3541.14
HIST-00433,2024-07-17,comprehensive,FL,15092.86
HIST-00434,2022-05-15,glass,PA,9762.03
HIST-00435,2022-04-15,liability,NY,5251.44
HIST-00436,2024-02-02,uninsured_motorist,NC,13882.54
HIST-00437,2022-04-07,collision,TX,10853.42
HIST-00438,2023-10-22,collision,FL,13433.52
HIST-00439,2023-08-08,glass,FL,13677.19
HIST-00440,2022-03-17,liability,FL,14757.84
HIST-00441,2024-10-11,glass,NC,13996.67
HIST-00442,2023-04-10,comprehensive,GA,4290.35
HIST-00443,2023-05-02,glass,NC,15882.96
HIST-00444,2022-11-22,uninsured_motorist,GA,9122.93
HIST-00445,2023-11-22,uninsured_motorist,GA,6009.73
HIST-00446,2023-07-05,liability,PA,3636.27
HIST-00447,2024-08-08,comprehensive,WA,15492.73
HIST-00448,2022-08-02,glass,PA,17433.04
HIST-00449,2024-09-05,uninsured_motorist,FL,4887.92
HIST-00450,2023-11-03,uninsured_motorist,IL,2027.37
HIST-00451,2024-04-02,liability,PA,12256.63
HIST-00452,2024-01-28,collision,FL,14561.85
HIST-00453,2024-12-22,glass,FL,8837.34
HIST-00454,2023-05-01,comprehensive,FL,17332.56
HIST-00455,2022-12-25,uninsured_motorist,FL,12643.02
HIST-00456,2024-04-13,comprehensive,GA,6060.42
HIST-00457,2023-07-15,glass,IL,5828.23
HIST-00458,2023-09-16,uninsured_motorist,TX,14529.57
HIST-00459,2024-08-25,liability,FL,6924.41
HIST-00460,2023-01-19,comprehensive,NY,685.47
HIST-00461,2024-10-19,uninsured_motorist,WA,3082.44
HIST-00462,2023-04-13,glass,FL,9187.71
HIST-00463,2024-11-11,liability,OH,17410.55
HIST-00464,2024-12-16,uninsured_motorist,NY,13296.79
HIST-00465,2023-03-05,glass,OH,3639.24
HIST-00466,2024-11-02,glass,CA,15167.61
HIST-00467,2022-11-02,collision,PA,2819.85
HIST-00468,2024-04-03,comprehensive,CA,4249.47
HIST-00469,2023-06-02,glass,NC,16464.43
HIST-00470,2024-08-01,collision,GA,10108.93
HIST-00471,2022-01-17,liability,GA,17603.64
HIST-00472,2022-09-27,uninsured_motorist,NY,2283.49
HIST-00473,2022-09-05,comprehensive,FL,11308.14
HIST-00474,2023-06-09,uninsured_motorist,TX,6965.71
HIST-00475,2023-08-19,comprehensive,FL,5679.55
HIST-00476,2022-11-28,collision,TX,7532.9
HIST-00477,2023-09-16,collision,CA,12770.07
HIST-00478,2022-08-28,uninsured_motorist,IL,10359.08
HIST-00479,2022-09-02,comprehensive,FL,16262.4
HIST-00480,2024-10-16,liability,CA,16665.2
HIST-00481,2024-05-18,glass,CA,3556.64
HIST-00482,2023-01-07,glass,NY,13639.68
HIST-00483,2024-07-03,liability,NY,10325.66
HIST-00484,2024-07-22,glass,IL,7155.69
HIST-00485,2024-03-26,collision,GA,13520.04
HIST-00486,2023-01-04,uninsured_motorist,FL,15160.67
HIST-00487,2023-10-25,glass,NC,7381.97
HIST-00488,2023-01-21,liability,OH,9034.62
HIST-00489,2023-09-13,uninsured_motorist,NY,12362.63
HIST-00490,2024-07-03,glass,WA,14445.77
HIST-00491,2024-02-03,liability,NY,7088.0
HIST-00492,2024-03-24,uninsured_motorist,IL,6748.32
HIST-00493,2022-01-10,uninsured_motorist,IL,13799.7
HIST-00494,2022-03-03,comprehensive,PA,8299.65
HIST-00495,2024-09-14,collision,CA,1977.29
HIST-00496,2024-02-20,glass,IL,15601.44
HIST-00497,2022-05-14,uninsured_motorist,TX,13157.25
HIST-00498,2024-04-19,glass,NY,12461.56
HIST-00499,2022-03-09,liability,WA,9078.98
HIST-00500,2022-03-14,liability,PA,5675.64
HIST-00501,2022-06-09,comprehensive,OH,10850.99
HIST-00502,2022-08-04,comprehensive,WA,519.11
HIST-00503,2023-06-27,glass,PA,14551.75
HIST-00504,2023-08-11,uninsured_motorist,NC,2795.79
HIST-00505,2023-10-23,comprehensive,OH,5929.63
HIST-00506,2023-06-10,uninsured_motorist,NC,14162.75
HIST-00507,2023-07-09,uninsured_motorist,IL,2404.43
HIST-00508,2024-04-19,glass,NY,12398.14
HIST-00509,2024-01-24,uninsured_motorist,FL,8116.81
HIST-00510,2023-12-03,uninsured_motorist,OH,2849.55
HIST-00511,2023-04-09,comprehensive,PA,14287.75
HIST-00512,2022-08-20,uninsured_motorist,NC,7454.17
HIST-00513,2024-12-14,glass,CA,14316.69
HIST-00514,2023-12-26,glass,NC,11631.97
HIST-00515,2022-02-25,comprehensive,IL,3327.56
HIST-00516,2024-01-19,uninsured_motorist,IL,17396.62
HIST-00517,2023-02-01,collision,WA,4307.22
HIST-00518,2024-09-18,glass,NC,4290.16
HIST-00519,2023-07-15,glass,GA,3053.11
